,0
0,18.696980058364588
1,17.89076612821657
2,19.053330577861598
3,19.48382932926565
4,20.569283288064092
5,19.518467150376278
6,18.038221029295197
7,18.37356892419244
8,19.252960806263978
9,16.962719854930455
10,19.0157340277045
11,17.574761041372465
12,18.32065925610686
13,16.067138348300084
14,16.961974115612392
15,17.531075693801473
16,18.776153351481096
17,17.686652109891302
18,16.129930446364586
19,17.97734814825451
20,18.85392526797999
21,17.53709193900749
22,16.835406941770525
23,18.51636783482914
24,15.838783999072916
25,17.369681172904123
26,16.172441746584067
27,17.960643254269467
28,16.85182171256258
29,17.023731754005045
30,15.528512201958943
31,17.722332265915362
32,17.386669512432746
33,17.740143337667334
34,16.757725990829588
35,17.255344101104146
36,19.07695242546464
37,17.691079916561325
38,17.48798229768658
39,19.304090519603164
40,17.588722214193734
41,19.595688712632523
42,19.482796602644353
43,17.246171571381677
44,17.467333670944214
45,18.61806728452904
46,17.320748876987718
47,19.818918099483767
48,19.194837495243767
49,20.967226629976857
50,20.314843511548386
51,19.32816383879597
52,19.423954804492446
53,19.59395893205008
54,20.820982387252343
55,19.246528995897084
56,18.49756499460503
57,18.861267170488443
58,17.49022195479168
59,17.281435887499526
60,19.92991296356839
61,18.172290430506127
62,16.95798496391017
63,16.702407452887368
64,15.284813235978293
65,15.748236743835564
66,15.47613133375
67,15.559630822310927
68,15.255237246966423
69,13.543116734177453
70,16.87724247148774
71,13.547362044100426
72,14.717641811702583
73,12.168904491498287
74,11.6163197279065
75,11.669858432812958
76,10.43992340069981
77,10.96675644326625
78,12.082801832006231
79,10.192118502775719
80,10.28169222266431
81,9.746035876213995
82,11.151955965223987
83,11.45475522992556
84,10.96789895667808
85,10.72900226521731
86,12.17769640253118
87,11.889375803534113
88,11.91161955311513
89,12.718742327456622
90,11.478178154539062
91,12.091214620178855
92,13.857833536148808
93,16.198239636686388
94,15.354549491309893
95,16.807859671132025
96,16.74013635905336
97,16.379924249243743
98,17.372888960037635
99,17.267730365182196
100,19.125829481662215
101,20.595234150397726
102,18.998818868554913
103,21.19665022586853
104,21.02743325840854
105,19.233892638198412
106,21.1548270778544
107,20.621120451337333
108,20.647235110412065
109,20.16623552055319
110,20.470967182492217
111,21.314002567879214
112,18.655543072561535
